Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
25/01/2018,B,$$,11003.5126,11003.5126,224152555,11807441560,1,0,BLOOMBERG,2018-01-25,11003.5126
26/01/2018,B,$$,11003.9924,11003.9924,224162329,12023109854,1,0,BLOOMBERG,2018-01-26,11003.9924
27/01/2018,B,$$,11004.6848,11004.6848,224176434,12058360668,1,0,BLOOMBERG,2018-01-27,11004.6848
28/01/2018,B,$$,11005.3655,11005.3655,224190301,12059398269,1,0,BLOOMBERG,2018-01-28,11005.3655
29/01/2018,B,$$,11005.376,11005.376,224190514,11876386095,1,0,BLOOMBERG,2018-01-29,11005.376
30/01/2018,B,$$,11009.9104,11009.9104,224282885,11950521827,1,0,BLOOMBERG,2018-01-30,11009.9104
31/01/2018,B,$$,11011.5232,11011.5232,224315739,12042050963,1,0,BLOOMBERG,2018-01-31,11011.5232
01/02/2018,B,$$,11012.8123,11012.8123,224341999,12071437260,1,0,BLOOMBERG,2018-02-01,11012.8123
02/02/2018,B,$$,11006.1784,11006.1784,224206860,12047021329,1,0,BLOOMBERG,2018-02-02,11006.1784
03/02/2018,B,$$,11006.9838,11006.9838,224223267,12048209636,1,0,BLOOMBERG,2018-02-03,11006.9838
04/02/2018,B,$$,11007.7415,11007.7415,224238702,12049345900,1,0,BLOOMBERG,2018-02-04,11007.7415
05/02/2018,B,$$,11006.7663,11006.7663,224218836,12114060370,1,0,BLOOMBERG,2018-02-05,11006.7663
06/02/2018,B,$$,11007.429,11007.429,224232336,12049629410,1,0,BLOOMBERG,2018-02-06,11007.429
07/02/2018,B,$$,11008.7896,11008.7896,224260053,12051421936,1,0,BLOOMBERG,2018-02-07,11008.7896
08/02/2018,B,$$,11023.5902,11023.5902,224561556,12374117158,1,0,BLOOMBERG,2018-02-08,11023.5902
09/02/2018,B,$$,11026.1939,11026.1939,224614596,12225133276,1,0,BLOOMBERG,2018-02-09,11026.1939
10/02/2018,B,$$,11029.0228,11029.0228,224672223,12228568041,1,0,BLOOMBERG,2018-02-10,11029.0228
11/02/2018,B,$$,11030.8782,11030.8782,224710020,12230929719,1,0,BLOOMBERG,2018-02-11,11030.8782
12/02/2018,B,$$,11030.0092,11030.0092,224692317,12230288203,1,0,BLOOMBERG,2018-02-12,11030.0092
13/02/2018,B,$$,11034.5102,11034.5102,224784007,12264415713,1,0,BLOOMBERG,2018-02-13,11034.5102
14/02/2018,B,$$,11041.2031,11041.2031,224920348,12392761853,1,0,BLOOMBERG,2018-02-14,11041.2031
15/02/2018,B,$$,11039.672,11039.672,224889158,12299535950,1,0,BLOOMBERG,2018-02-15,11039.672
16/02/2018,B,$$,11038.5019,11038.5019,224865322,12447041562,1,0,BLOOMBERG,2018-02-16,11038.5019
17/02/2018,B,$$,11040.466,11040.466,224905333,12449566668,1,0,BLOOMBERG,2018-02-17,11040.466
18/02/2018,B,$$,11042.2814,11042.2814,224942314,12451925106,1,0,BLOOMBERG,2018-02-18,11042.2814
19/02/2018,B,$$,11046.3931,11046.3931,225026074,12456859117,1,0,BLOOMBERG,2018-02-19,11046.3931
20/02/2018,B,$$,11051.6882,11051.6882,225133940,12463120443,1,0,BLOOMBERG,2018-02-20,11051.6882
21/02/2018,B,$$,11054.9844,11054.9844,225201087,12467140256,1,0,BLOOMBERG,2018-02-21,11054.9844
22/02/2018,B,$$,11058.811,11058.811,225279039,12471754954,1,0,BLOOMBERG,2018-02-22,11058.811
23/02/2018,B,$$,11058.9588,11058.9588,225282050,12715746338,1,0,BLOOMBERG,2018-02-23,11058.9588
24/02/2018,B,$$,11060.9491,11060.9491,225322594,12718301630,1,0,BLOOMBERG,2018-02-24,11060.9491
25/02/2018,B,$$,11062.8777,11062.8777,225361882,12720787885,1,0,BLOOMBERG,2018-02-25,11062.8777
26/02/2018,B,$$,11061.738,11061.738,225338665,12716150223,1,0,BLOOMBERG,2018-02-26,11061.738
27/02/2018,B,$$,11060.1528,11060.1528,225306373,12714666876,1,0,BLOOMBERG,2018-02-27,11060.1528
28/02/2018,B,$$,11061.3342,11061.3342,225330439,12841708077,1,0,BLOOMBERG,2018-02-28,11061.3342
01/03/2018,B,$$,11063.9059,11063.9059,225382827,13268847776,1,0,BLOOMBERG,2018-03-01,11063.9059
02/03/2018,B,$$,11067.3911,11067.3911,225453824,12992690645,1,0,BLOOMBERG,2018-03-02,11067.3911
03/03/2018,B,$$,11069.3341,11069.3341,225493405,12995295880,1,0,BLOOMBERG,2018-03-03,11069.3341
04/03/2018,B,$$,11071.2469,11071.2469,225532371,12997865961,1,0,BLOOMBERG,2018-03-04,11071.2469
05/03/2018,B,$$,11076.4068,11076.4068,225637483,13071190079,1,0,BLOOMBERG,2018-03-05,11076.4068
06/03/2018,B,$$,11076.7787,11076.7787,225645059,13062257178,1,0,BLOOMBERG,2018-03-06,11076.7787
07/03/2018,B,$$,11075.2938,11075.2938,225614810,13105253232,1,0,BLOOMBERG,2018-03-07,11075.2938
08/03/2018,B,$$,11068.2903,11068.2903,225472142,13097349656,1,0,BLOOMBERG,2018-03-08,11068.2903
09/03/2018,B,$$,11064.2256,11064.2256,225389340,13861039458,1,0,BLOOMBERG,2018-03-09,11064.2256
10/03/2018,B,$$,11064.7253,11064.7253,225399519,13862001857,1,0,BLOOMBERG,2018-03-10,11064.7253
11/03/2018,B,$$,11065.2342,11065.2342,225409886,13862975416,1,0,BLOOMBERG,2018-03-11,11065.2342
12/03/2018,B,$$,11096.1991,11096.1991,226040672,13563471850,1,0,BLOOMBERG,2018-03-12,11096.1991
13/03/2018,B,$$,11089.7428,11089.7428,225909151,13555936767,1,0,BLOOMBERG,2018-03-13,11089.7428
14/03/2018,B,$$,11094.1313,11094.1313,225998549,13556950848,1,0,BLOOMBERG,2018-03-14,11094.1313
15/03/2018,B,$$,11099.4807,11099.4807,226107521,13563839281,1,0,BLOOMBERG,2018-03-15,11099.4807
16/03/2018,B,$$,11100.7452,11100.7452,226133280,13747368274,1,0,BLOOMBERG,2018-03-16,11100.7452
17/03/2018,B,$$,11101.347,11101.347,226145540,13748457741,1,0,BLOOMBERG,2018-03-17,11101.347
18/03/2018,B,$$,11101.7939,11101.7939,226154644,13749357702,1,0,BLOOMBERG,2018-03-18,11101.7939
19/03/2018,B,$$,11105.2575,11105.2575,226225201,13595240948,1,0,BLOOMBERG,2018-03-19,11105.2575
20/03/2018,B,$$,11104.7661,11104.7661,226215190,13611537116,1,0,BLOOMBERG,2018-03-20,11104.7661
21/03/2018,B,$$,11104.2383,11104.2383,726183872,14154882622,1,0,BLOOMBERG,2018-03-21,11104.2383
22/03/2018,B,$$,11105.2246,11105.2246,726248373,14132953105,1,0,BLOOMBERG,2018-03-22,11105.2246
23/03/2018,B,$$,11109.1238,11109.1238,726503369,14567169476,1,0,BLOOMBERG,2018-03-23,11109.1238
24/03/2018,B,$$,11109.7088,11109.7088,726541626,14568278151,1,0,BLOOMBERG,2018-03-24,11109.7088
25/03/2018,B,$$,11110.227,11110.227,726575515,14569302015,1,0,BLOOMBERG,2018-03-25,11110.227
26/03/2018,B,$$,11113.2626,11113.2626,726774034,14099989020,1,0,BLOOMBERG,2018-03-26,11113.2626
27/03/2018,B,$$,11114.8426,11114.8426,726877362,14290611383,1,0,BLOOMBERG,2018-03-27,11114.8426
28/03/2018,B,$$,11120.3941,11120.3941,727240413,14318769423,1,0,BLOOMBERG,2018-03-28,11120.3941
